scenario_id,scenario_name,seed,N,M,K,L,echo_raw_objective,echo_energy,echo_feasible,echo_runtime_sec,echo_chosen_premium_band,echo_chosen_deductible_band,echo_selected_features_count,echo_selected_reg_features_count,echo_tau0,echo_num_stages,echo_best_stage,echo_steps_used,echo_final_condition_number,echo_final_negative_eigs,echo_final_roughness,sa_raw_objective,sa_energy,sa_feasible,sa_runtime_sec,greedy_raw_objective,greedy_energy,greedy_feasible,gurobi_ran,gurobi_raw_objective,gurobi_energy,gurobi_feasible,gurobi_status,gap_echo_to_sa,gap_echo_to_greedy,gap_echo_to_gurobi,echo_beats_sa,echo_ties_sa,echo_loses_sa,echo_beats_greedy,echo_ties_greedy,echo_beats_gurobi,echo_ties_gurobi,echo_loses_gurobi,w_onehot,w_reg,w_aff
1,S1_cost_only,1008,30,4,5,2,-41.79076832176042,-3762403.686478939,1,20.97598958015442,5,4,3,3,1000000.0,7,6,800000,41637.08599208239,12,1336218.5122161475,247.393456390364,-3762114.502254226,1.0,20.5150042,1196.2126372249145,-3761165.683073392,1,1,-41.79076832176042,-3762403.686478938,1,OPTIMAL,-289.18422471212443,-1238.003405546675,-7.105427357601002e-15,1,0,0,1,0,0,1,0,188118.0947855308,376236.1895710616,0.0
1,S1_cost_only,1009,30,4,5,2,-780.0347191128917,-3353018.311901309,1,20.072397708892822,5,1,3,3,1000000.0,7,6,800000,26417.914468811137,11,1141182.1601785258,-780.0347191128917,-3353018.311901309,1.0,20.4230428,-580.0347191128917,-3352818.311901309,1,1,-780.0347191128917,-3353018.311901309,1,OPTIMAL,0.0,-200.0,0.0,0,1,0,1,0,0,1,0,167611.9138591098,335223.8277182196,0.0
1,S1_cost_only,1010,30,4,5,2,-129.00685876138277,-4322135.144506625,1,20.19917321205139,5,4,3,3,1000000.0,7,6,800000,50125.02968829957,12,1534958.0580690994,-129.00685876138277,-4322135.144506625,1.0,19.5617093,670.9931412386172,-4321335.144506625,1,1,-129.00685876138277,-4322135.144506625,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,216100.3068823932,432200.6137647864,0.0
1,S1_cost_only,1011,30,4,5,2,-525.6647494057422,-4040254.776911128,1,20.28532862663269,5,4,3,3,1000000.0,7,6,800000,41448.738508545015,12,1434782.0555143142,-525.6647494057422,-4040254.776911128,1.0,19.8690485,74.33525059425779,-4039654.776911128,1,1,-694.3008607253548,-4040423.413022448,1,OPTIMAL,0.0,-600.0,168.6361113196126,0,1,0,1,0,0,0,1,201986.4556080861,403972.9112161722,0.0
1,S1_cost_only,1012,30,4,5,2,-518.8119208211886,-4073492.567589841,1,20.122578620910645,5,3,3,3,1000000.0,7,6,800000,50827.17365893982,12,1446461.0525034212,-518.8119208211886,-4073492.567589841,1.0,19.8762147,2024.021560557945,-4070949.734108462,1,1,-518.8119208211886,-4073492.567589841,1,OPTIMAL,0.0,-2542.833481379133,0.0,0,1,0,1,0,0,1,0,203648.68778345105,407297.3755669021,0.0
1,S1_cost_only,1013,30,4,5,2,326.3621965930006,-4796823.274824429,1,20.140905141830444,5,2,3,3,1000000.0,7,6,800000,70343.92554408078,12,1703682.007627563,475.3599692811376,-4796674.277051741,1.0,20.7897467,2263.4455250014607,-4794886.191496021,1,1,326.3621965930006,-4796823.274824429,1,OPTIMAL,-148.997772688137,-1937.08332840846,0.0,1,0,0,1,0,0,1,0,239857.4818510511,479714.9637021022,0.0
1,S1_cost_only,1014,30,4,5,2,1908.2670575653744,-3523970.4164008456,1,20.521843433380127,5,4,3,3,1000000.0,7,6,800000,52780.28439439344,12,1252046.1908452106,1908.2670575653744,-3523970.4164008456,1.0,20.248668,3071.1051429902154,-3522807.578315421,1,1,1908.2670575653744,-3523970.4164008456,1,OPTIMAL,-2.273736754432321e-13,-1162.8380854248412,-2.273736754432321e-13,0,1,0,1,0,0,1,0,176293.93417292056,352587.8683458411,0.0
1,S1_cost_only,1015,30,4,5,2,3156.672542545134,-3708207.2056936687,1,21.02672243118286,5,1,3,3,1000000.0,7,6,800000,46194.700242513,12,1317882.623282787,3156.5149841233488,-3708207.36325209,1.0,20.3169673,3756.672542545134,-3707607.2056936687,1,1,3156.5149841233488,-3708207.36325209,1,OPTIMAL,0.1575584217853247,-600.0,0.1575584217853247,0,0,1,1,0,0,0,1,185568.19391181067,371136.3878236213,0.0
1,S1_cost_only,1016,30,4,5,2,1474.9830839213632,-4255199.308946212,1,20.679203271865845,5,2,3,3,1000000.0,8,7,800000,20834.513010290688,11,1448933.0672282986,1474.9830839213632,-4255199.308946212,1.0,20.1000529,1474.9830839213632,-4255199.308946212,1,1,1474.9830839213632,-4255199.308946212,1,OPTIMAL,0.0,0.0,0.0,0,1,0,0,1,0,1,0,212833.71460150668,425667.42920301337,0.0
1,S1_cost_only,1017,30,4,5,2,84.49379809557558,-3064891.821694086,1,20.7282133102417,5,2,3,3,1000000.0,7,6,800000,38556.027978784834,12,1088432.4761157294,84.49379809557558,-3064891.821694086,1.0,19.532575,684.4937980955756,-3064291.8216940854,1,1,84.49379809557558,-3064891.8216940854,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,153248.81577460907,306497.63154921815,0.0
